nombre,direccion,sector,telefono,whatsapp,latitud,longitud,delivery
Farma Descuento Ayacucho Plus,"Urbanización Andrés Eloy Blanco, a 100 metros del paseo, Puerto Ayacucho Estado Amazonas",Andrés Eloy Blanco,0416-6857492,0416-6857492,5.6667,-67.6333,si
Farma Amazonas (Sede Principal),"Av. Perimetral, al lado del Centro de Diagnóstico Integral Dr. Gilberto Rodríguez Ochoa, Puerto Ayacucho Estado Amazonas",Perimetral / CDI,0248-5210171,0248-5210171,5.6700,-67.6300,no
Farma Amazonas (Sucursal),"Av. Principal 23 de Enero, al lado del Centro Comercial Esmeralda, Puerto Ayacucho Estado Amazonas",23 de Enero / CC Esmeralda,0248-5210171,0248-5210171,5.6720,-67.6350,no
Farmacia Orinoco,"Avenida Orinoco, Troncal 2 Puerto Ayacucho Estado Amazonas",Av. Orinoco / Troncal 2,0248-5212425,0248-5212425,5.6680,-67.6380,no
Farmacia Doña Carmen,"Avenida Orinoco, Puerto Ayacucho Estado Amazonas",Av. Orinoco,0248-5210305,0248-5210305,5.6670,-67.6360,no
Farmacia El Carmen,"Avenida 23 de Enero, Sector Centro, Puerto Ayacucho Estado Amazonas",Centro / 23 de Enero,0248-5214109,0248-5214109,5.6660,-67.6340,no
Farma Abastos Amazonas,"Planta Baja, Centro Comercial Alto Parima, Local S/N, Calle Principal, Puerto Ayacucho Estado Amazonas",Centro / CC Alto Parima,,,5.6650,-67.6320,no
"Farmacia Todo-Farma Amazonas, C.A.","Sector Aramare, Puerto Ayacucho Estado Amazonas",Aramare,,,5.6600,-67.6400,no
Farmacia Aramare C.A.,"Avenida Orinoco, al lado del Banco Caroní, Puerto Ayacucho Estado Amazonas",Av. Orinoco / Banco Caroní,,,5.6690,-67.6370,no
Farmacia Autana,"Sector Centro, Puerto Ayacucho Estado Amazonas",Centro,,,5.6660,-67.6330,no
"Farmacia La Suprema, C.A.","Sector Centro, Puerto Ayacucho Estado Amazonas",Centro,,,5.6655,-67.6325,no
"Farmacia ""La Paz""","Sector Centro, Puerto Ayacucho Estado Amazonas",Centro,,,5.6670,-67.6345,no
